question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
980. a 39wk pregnanct woman came to labor suite 3d after an obstructed labour presents with pain and swelling of one leg. exam: leg has blue mottling and is cold. what is the dx?,a. dvt,b. post phlebitis syndrome,c. embolus,d. varicose vein,e. herpes gladiatorum,,,,,,key: the key is c. embolus.,,
"981. an 8yo boy has his tonsils and adenoids removed. on the 7th post-op day, he comes back to the ed with hemoptysis and fever. what is the most appropriate management?",a. admit for iv antibiotics,b. prescribe oral antibiotics and discharge,c. packing,d. surgery,e. reassurance,,,,,,key: the key is a. admit for iv antibiotic. [most secondary hemorrhage occurs due to infection which erodes a vessel. so patient should be admitted for iv antibiotics].,,
982. a 50yo female had swelling in her ankles. she is a known alcoholic. now she presented with breathlessness and palpitations. what is the most likely cause of her condition?,a. vt,b. svt,c. a-flutter,d. a-fib,e. v-ectopics,,,,,,key: the key is d. atrial fibrillation. [ankle swelling suggests alcoholic cardiomyopathy and alcoholism is also a well known cause of atrial fibrillation].,,
983. a young boy has acute scrotal pain for a few hours. exam: one testis is very painful to touch. he had this kind of pain before but it was mild and resolved itself within 30mins. what would you do next?,a. urgent exploration,b. us,c. antibiotics,d. iv fluids,e. doppler us,,,,,,key: the key is a. urgent exploration. [as sudden onset of severe pain likely diagnosis is torsion of testis. (infection takes a more prolonged course).  next step is urgent exploration].,,
984. an 8wk pregnant woman presents with persistent vomiting and weight loss. exam: hr=110bpm. dehydration was corrected with ns infusion and k+. the condition didn’t improve so im cyclizine was given. she is still vomiting. what is the next appropriate management?,a. iv fluids,b. iv antiemetics,c. iv steroids,d. terminate pregnancy,e. thiamine,,,,,,key: the key is c. iv steroid.  [steroids may be used in patient's of hyperemesis gravidarum refractory to standard therapy].,,
985. a 28yo lady presents with dyspareunia and dysmenorrhea. she is very obese. she now wants reversible contraceptive method. which of the following will be most suitable for her?,a. mirena,b. cocp,c. pop,d. copper t,e. barrier method,,,,,,key: the key is a. mirena.,,
986. a young lady who is 28wks pregnant presents with vaginal bleeding. she has lost about 200ml of blood. exam: uterus is tender. resuscitation has been done. what is the most imp inv to establish the dx?,a. us,b. ct,c. d-dimer,d. clotting profile,e. none,,,,,,key: the key is a. us. [antepartum hemorrhage. most important investigation to establish the dx is us].,,
987. a 14yo girl presents with primary amenorrhea and a short stature. what is the most likely dx?,a. down’s syndrome,b. klinefeltner’s syndrome,c. turner’s syndrome,d. fragile x syndrome,e. normal finding,,,,,,key: the key is c. turner’s syndrome. [down’s syndrome and fragile x syndrome don’t have primary amenorrhea. klienfelters syndrome patients are tall males. so the likely diagnosis is turner’s syndrome].,,
988. a 32yo woman wants reversible form of contraception. she has one child delivered by emergency c-section. she also suffers from migraine and heavy periods. what is the most suitable form of contraception for this lady?,a. cocp,b. mini pill,c. iucd,d. barrier method,e. abstinence,,,,,,key: the key is c. iucd. it is wrong key! correct key is b. mini pill.,,
"989. a 45yo known hypertensive man presents with hematuria, proteinuria and edema. what is the definitive dx test for him?",a. urine protein,b. renal biopsy,c. renal function test,d. urine microscopy,e. serum protein,,,,,,key: the key is b. renal biopsy. [in nephritic syndrome glomerulus is affected. so renal biopsy is the definitive diagnostic test].,,
"990. a 47yo man presents with proteinuria+, bp=160/95mmhg, small kidneys that have smooth renal pelvis. what is the most probable dx?",a. gn,b. chronic pyelonephritis,c. unilateral renal artery stenosis,d. multiple myeloma,e. arf,,,,,,key: the key is a. gn. [in chr. pyelonephritis us will demonstrate renal scarring and urinalysis will demonstrate pyuria which are absent here. in renal artery stenosis there will be considerable difference in kidney size from one another which is not found here. here likely diagnosis is gn].,,
"991. you are the ho in the hospital and the lab report of a pt shows glucose=4mmol/l, k+=5.2mmol/l, na+129mmol/l. what is the most appropriate management?",a. ns 0.9%,b. ns 0.45%,c. ns 0.9% and insulin,d. insulin,e. dextrose,,,,,,key: the key is a. ns 0.9% [here there is significant hyponatremia with mild hyperkalemia. glucose is in lower normal level. insulin can shift k+ in cells but this mild hyperkalemia does not need this treatment at this level. more over in lower blood glucose insulin may cause hypoglycemia. so the best management option is a. ns 0.9% which will correct the electrolyte imbalance (including k+ level by renal handling)].,,
992. a 27yo man presents with abdominal pain. he says his urine is dark. exam: bp=160/105mmhg. what is the most appropriate inv?,a. us,b. renal biopsy,c. ct,d. urine protein,e. urine microscopy,,,,,,"key: the key is a. us. [abdominal pain, dark urine (hematuria) and hypertension suggests adpkd.  the sensitivity of ultrasonography for adpkd1 is 99% for at-risk patients older than 20 years].",,
993. a 12m child with aids is due for his mmr vaccination. what is the single most appropriate action?,a. defer immunization for 2wks,b. don’t give vaccine,c. give half dose of vaccine,d. give paracetamol with future doses of the same vaccine,e. proceed with standard immunization schedule,,,,,,"key: the key is b. don’t give vaccine. [mmr is live attenuated vaccine which should be avoided in aids]. [*** please note, in similar question where asked about hiv positive child’s vaccination and the answer was give all vaccines except bcg. hiv positive is not in a immunodeficient state and can receive live attenuated vaccines (except bcg), where as child with aids means he has criteria of immunodeficiency already for which all live attenuated vaccines should be avoided]. [please note the two terms “hiv positive” and “with aids”].",,
"994. a young man presents with sudden, severe pain and swelling in the scrotum. exam: one testis seems higher than the other. what is the most probable dx?",a. varicocele,b. hematocele,c. testicular tumor,d. epidiymo-orchitis,e. testicular torsion,,,,,,"key: the key is e. testicular torsion. [sudden severe pain, scrotal swelling and higher position of the affected testis is diagnostic of testicular torsion. you may get further support  from examining cremesteric reflex which is absent in testicular torsion].",,
995. a 24yo male involved in rta with xr: fx neck of humerus. what is the single most associated nerve injury?,a. axillary nerve,b. radial nerve,c. median nerve,d. ulnar nerve,,,,,,,key: the key is a. axillary nerve.,,
996. a 64yo man complains of increasing sob and cough for the past 18m. he coughs up a tbsp of mucopurulent sputum with occasional specks of blood. what is the most likely underlying cause?,a. acute bronchitis,b. bronchiectasis,c. chronic bronchitis,d. lung cancer,e. pneumonia,,,,,,"key: the key is c. chronic bronchitis. [there may be specks of blood in sputum in both bronchiectasis , acute and chronic bronchitis. duration of disease is 18 months, so it is not acute bronchitis. again only one tablespoonful sputum does not justify the term copious sputum of bronhiectasis in which sputum will be much more like cup-full in amount. so it is chronic bronchitis].",,
997. a 55yo man who is hypertensive suddenly lost his vision. the retina is pale and fovea appears as a bright cherry red spot. what is the single most appropriate tx?,a. pan retinal photocoagulation,b. corticosteroids,c. scleral buckling,d. surgical extraction of lens,e. pressure over eyeball,,,,,,"key: the key is e. pressure over eyeball. [in central retinal artery occlusion (crao) retina becomes pale and fovea becomes cherry red. hypertension is a major cause of crao. apply direct pressure for 5-15 seconds, then release. repeat several times. ocular massage can dislodge the embolus to a point further down the arterial circulation and improve retinal perfusion].",,
998. a 32yo man with schizophrenia and a hx of violence and distressing auditory hallucinations was admitted to the ward with aggressive behavior and has already smashed his room. he is refusing any oral meds. what is the single most appropriate injection?,a. flupenthixol,b. fluphenazine,c. haloperidol,d. paraldehyde,e. risperidone,,,,,,key: the key is c. haloperidol. [if oral preparation was asked we could give risperidone but in question asked injectable preparation. injection risperidone is a depot preparation the action of which takes few days to start. so in acute case it is not suitable; hence from the given options haloperidol is the best choice].,,
"999. a 65yo man complains of hematuria, frequency, hesistancy and nocturia. he reports that on certain occasions he finds it difficult to control the urge to pass urine. urine microscopy confirms the presence of blood but no other features. what is the most porbable dx?",a. bph,b. bladder ca,c. prostatic ca,d. pyelonephritis,e. prostatitis,,,,,,key: there are two keys a. bph and c. prostatic carcinoma. [there are no constitutional features of carcinoma. bleeding is more common in bph and occurs in a minority of cases and much less common in prostatic carcinoma. features given are of prostatism only which favours the diagnosis of bph].,,
