,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
1607,"1610. a 32yo woman of 40wks gestation attends the antenatal day unit with sudden onset epigastric pain with nausea and vomiting. she is clinically jaundiced. her biochemistry results show a raised bilirubin, abnormal liver enzymes, high uric acid and hypoglycemia. what’s the most likely dx? ",a. acute fatty liver of pregnancy,b. obstetric cholestasis,c. cholecystitis,d. HELLP syndrome,e. acute hepatitis,,,,,,"ans. the key is a. acute fatty liver of pregnancy. [when jaundice is present in pregnancy, aflp should be high on the differential. pain, nausea, vomiting, jaundice, fever with elevated liver enzymes and bilirubin are indicative of aflp. also can have elevated inr, tlc and hypoglycaemia. 1611. a 24yo man believes his bowels are blocked and his life is in ruin. what kind of delusion is he suffering from? ",,,,
1608,1611. a 24yo man believes his bowels are blocked and his life is in ruin. what kind of delusion is he suffering from? ,a. persecutory,b. factitious,c. guilt,d. Nihilistic,e. hypochondriacal,,,,,,"ans. the key is d. nihilistic. [the man believes his bowels are blocked and his life is ruined is an example of nihilistic delusion]. 1612. a 75yo man with declining vision, cornea and pupils are normal, fundus shows obscured margins. what is the single most likely dx? ",,,,
1609,"1612. a 75yo man with declining vision, cornea and pupils are normal, fundus shows obscured margins. what is the single most likely dx? ",a. macular degeneration,b. htn retinopathy,c. ms,d. DM background,e. proliferative dm retinopathy,,,,,,ans. the key is a. macular degeneration. [in a 75yrs old man with normal cornea and pupils and papilloedema suggests macular degeneration]. 1613. a man under psychiatric tx develops gi distress and tremors. which drug is most likely to cause these symptoms? ,,,,
1610,1613. a man under psychiatric tx develops gi distress and tremors. which drug is most likely to cause these symptoms? ,a. lithium,b. diazepam,c. citalopram,d. Clozapine,e. imipramine,,,,,,"ans. the key is a. lithium. [lithium causes tremor, gi distress (vomiting) along with diabetes insipidus]. 1614. a 24yo man presents with painless hematuria. no other complaint and no abnormality is found on physical exam. what is the most appropriate initial inv which is helpful to get a dx? ",,,,
1611,1614. a 24yo man presents with painless hematuria. no other complaint and no abnormality is found on physical exam. what is the most appropriate initial inv which is helpful to get a dx? ,a. coag screening,b. msu,c. cystoscopy,d. MRI spine,e. abdominal us,,,,,,ans. the key is e. abdominal us. [painless hematuria in a young male without any other findings on history or examination often suggests polycystic kidney disease]. 1615. a 29yo woman presents to her gp with troublesome heavy periods. the med tx that she has tried have made little difference. she is known to have large uterine intramural fibroids. you ,,,,
1612,1615. a 29yo woman presents to her gp with troublesome heavy periods. the med tx that she has tried have made little difference. she is known to have large uterine intramural fibroids. you confirm that she is currently trying for more children. select the most appropriate management for menorrhagia in this pt? ,a. danazol,b. endometrial ablation,c. hysterectomy,d. Hysteroscopic resection of fibroids,e. myomectomy,,,,,,ans. e. myomectomy. [chance of subsequent pregnancies is better after myomectomy]. 1616. a 30yo schizophrenic female attacks her mother believing that aliens have replaced her with an exact double. what condition is she suffering from? ,,,,
1613,1616. a 30yo schizophrenic female attacks her mother believing that aliens have replaced her with an exact double. what condition is she suffering from? ,a. capgras syndrome,b. ganser syndrome,c. todd syndrome,d. Fregoli syndrome,e. cotard syndrome,,,,,,"ans. capgras syndrome. [capgras syndrome is an irrational belief that a familiar person or place has been replaced by a duplicate. ganser syndrome is a fictitious disorder in which a patient deliberately acts as if he has a physical or mental illness when he doesn’t have it. todd syndrome/alice in wonderland syndrome/lilliputian syndrome is a disorienting neurological condition affecting human perception of size, shape and time. fregoli syndrome is a delusion of doubles, a delusional belief that different ppl are infact a single person in disguise or change appearance. cotard’s syndrome/nihilistic delusions is ‘walking corpse syndrome’, the person think they are dead or that one of their organs has stopped functioning]. 1617. a 38yo man has just returned from a holiday where he went swimming everyday. for the last few days he has had irritation in both ears. now his right ear is hot, red, swollen and acutely ",,,,
1614,"1617. a 38yo man has just returned from a holiday where he went swimming everyday. for the last few days he has had irritation in both ears. now his right ear is hot, red, swollen and acutely painful. what is the single most likely dx? ",a. foreign body,b. impacted earwax,c. oe,d. OM,e. perforation of eardrum,,,,,,"ans. c. otitis externa. [the swimming history, irritation in both ears and ear being hot, red, swollen and painful indicates inflammation of the external acoustic meatus called otitis externa. it isn’t otitis media because of the lack of tympanic membrane signs]. 1618. a healthy 2yo boy is brought to the ed having cut his hand playing in the garden. he has a 2cm clean laceration. he has not received any routine immunizations as his parents are concerned about possible side effects. there are no contraindications to immunizations. what is the single most appropriate follow up inv? ",,,,
1615,1618. a healthy 2yo boy is brought to the ed having cut his hand playing in the garden. he has a 2cm clean laceration. he has not received any routine immunizations as his parents are concerned about possible side effects. there are no contraindications to immunizations. what is the single most appropriate follow up inv? ,a. courses of dpt vaccine,b. courses of dt,c. single inj of dpt vaccine,d. Single inj of DT,e. single inj of tetanus ig,,,,,,"ans. a. courses of dpt vaccine. [the child is unimmunized and has no contraindication to vaccination. keeping in mind his age, single injections would be useless and would not help the patient. courses of dpt vaccine would be the best choice in this case]. 1619. a 6wk child has hx of frequent vomiting which became worse during the last weeks. he has no fever, recently he has passed stool only once every 2-3d. what inv will you do to confirm the dx? ",,,,
1616,"1619. a 6wk child has hx of frequent vomiting which became worse during the last weeks. he has no fever, recently he has passed stool only once every 2-3d. what inv will you do to confirm the dx? ",a. abdominal us,b. barium meal,c. erect xr abdomen,d. Feed test,e. reassure,,,,,,ans. the key is a. abdominal us. [the age and symptoms points towards pyloric stenosis]. 1620. a 30yo woman had an iucd inserted 8-9m ago. now on routine follow up the thread is missing. uterine us showed no iucd in the uterus. what is the best management? ,,,,
1617,1620. a 30yo woman had an iucd inserted 8-9m ago. now on routine follow up the thread is missing. uterine us showed no iucd in the uterus. what is the best management? ,a. laparoscopy,b. pelvic ct,c. laparotomy,d. Pelvic XR,,,,,,,ans. the key is d. pelvic xr. [ultrasound should be arranged to locate the device. if ultrasound does not locate the device and there is no definite history of expulsion then abdominal x-ray should be performed to look for an extrauterine device]. 1621. a pt comes with weight loss and sleep disturbance has mild depression. he has a hx of mi. what is the single most appropriate tx? ,,,,
1618,1621. a pt comes with weight loss and sleep disturbance has mild depression. he has a hx of mi. what is the single most appropriate tx? ,a. diazepam,b. ect,c. imipramine,d. Lithium,e. antipsychotics,,,,,,ans. the key is a. diazepam. [treatment for mild depression is cbt. as the patient has mi imipramine is not suitable and in mild depression antidepressant is usually not given. as the patient has sleep disturbance diazepam can be given]. 1622. a pt. comes back from india and presents with night sweats and lymphadenopathy. xr: ,,,,
